normalized_key,state,party,email,title
lidia thorpe,VIC,IND,senator.thorpe@aph.gov.au,(Independent VIC Whip)
lisa darmanin,VIC,ALP,senator.darmanin@aph.gov.au,(Deputy Government Whip in the Senate)
malarndirri mccarthy,NT,ALP,Senator.McCarthy@aph.gov.au,Minister for Indigenous Australians
malcolm roberts,QLD,ON,senator.roberts@aph.gov.au,
maria kovacic,NSW,LP,senator.kovacic@aph.gov.au,
marielle smith,SA,ALP,senator.marielle.smith@aph.gov.au,
matthew canavan,QLD,NATS,senator.canavan@aph.gov.au,(Leader of the Nationals)
matthew o'sullivan,WA,LP,senator.matt.o'sullivan@aph.gov.au,(Deputy Manager of Opposition Business in; the Senate)
mehreen faruqi,NSW,AG,senator.faruqi@aph.gov.au,(Deputy Leader of the Australian Greens)
michaelia cash,WA,LP,senator.michaelia.cash@aph.gov.au,(Leader of the Opposition in the Senate)
michelle ananda-rajah,VIC,ALP,senator.ananda-rajah@aph.gov.au,
murray watt,QLD,ALP,senator.watt@aph.gov.au,Minister for the Environment and Water
nicholas mckim,TAS,AG,senator.mckim@aph.gov.au,(Australian Greens Whip)
nita green,QLD,ALP,senator.green@aph.gov.au,Assistant Minister for Tourism; Assistant Minister for Pacific Island Affairs; Assistant Minister for Northern Australia
paul scarr,QLD,LP,senator.scarr@aph.gov.au,
pauline hanson,QLD,ON,senator.hanson@aph.gov.au,(Leader of One Nation)
penny allman-payne,QLD,AG,senator.allman-payne@aph.gov.au,
penny wong,SA,ALP,senator.wong@aph.gov.au,Minister for Foreign Affairs; (Leader of the Government in the Senate)
peter whish-wilson,TAS,AG,senator.whish-wilson@aph.gov.au,
raffaele ciccone,VIC,ALP,senator.ciccone@aph.gov.au,
ralph babet,VIC,UAP,senator.babet@aph.gov.au,(United Australia Party Whip)
richard colbeck,TAS,LP,senator.colbeck@aph.gov.au,
richard dowling,TAS,ALP,senator.dowling@aph.gov.au,
ross cadell,NSW,NATS,senator.cadell@aph.gov.au,(Nationals Whip in the Senate)
sarah hanson-young,SA,AG,senator.hanson-young@aph.gov.au,(Manager of Australian Greens Business in; the Senate)
sarah henderson,VIC,LP,senator.henderson@aph.gov.au,
sean bell,NSW,ON,senator.bell@aph.gov.au,(One Nation Whip)
steph hodgins-may,VIC,AG,senator.hodgins-may@aph.gov.au,
susan lines,WA,ALP,senator.lines@aph.gov.au,
susan mcdonald,QLD,LNP,senator.mcdonald@aph.gov.au,(Deputy Leader of the Nationals in the; Senate)
tammy tyrrell,TAS,ALP,senator.tyrrell@aph.gov.au,
timothy ayres,NSW,ALP,senator.ayres@aph.gov.au,Minister for Industry and Innovation; Minister for Science
tyron whitten,WA,ON,senator.whitten@aph.gov.au,
varun ghosh,WA,ALP,senator.ghosh@aph.gov.au,
wendy askew,TAS,LP,senator.askew@aph.gov.au,(Opposition Whip in the Senate)
william brockman,WA,LP,senator.brockman@aph.gov.au,(Deputy President and Chair of; Committees)
